Range_of_ages
1 100

Data_set_1
88
2                                 # readers
1 100 25                          # minus group; plus group; reference age

   1  2
19 5 5
3 3 3
3 13 11
3 18 17
3 28 28
4 12 11
4 13 12
4 23 22
12 4 4
3 7 8
13 6 6
4 22 20
3 18 16
4 8 9
3 23 24
3 10 10
4 10 11
3 14 15
7 9 9
9 12 12
4 8 7
3 7 5
4 16 16
4 14 14
3 17 18
3 7 6
3 22 23
3 22 21
3 20 22
3 22 27
4 16 17
5 15 16
3 21 23
3 16 19
3 5 9
4 21 16
6 11 16
3 11 12
4 10 9
3 21 20
3 12 14
2 15 15
2 11 10
1 22 28
1 6 7
1 3 5
1 13 15
1 21 15
4 16 15
1 12 13
1 25 22
4 7 7
1 11 8
1 15 9
1 17 15
1 13 13
1 5 6
2 6 5
1 14 16
1 9 11
1 24 24
1 18 21
3 5 4
3 8 8
2 11 11
1 9 8
1 16 13
2 22 19
1 28 31
1 15 13
1 12 10
2 21 21
1 19 15
1 5 7
1 9 10
1 27 23
1 20 15
1 6 8
2 16 14
1 23 14
2 8 10
1 24 17
1 23 18
1 24 23
1 17 13
1 22 22
1 23 20
1 6 9
-999 -999
